Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,10.06.2024,11.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02979539450qspobkfn.3ll.dftlf.cvefkpwjdf.w.nmbefn/qiq,8000,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  plastová okna  
X,07.06.2024,09.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297826:350qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,07.06.2024,10.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02978267680qspobkfn.3ll.dftlf.cvefkpwjdf.w.nmbefn/qiq,8000,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  plastová okna  
X,07.06.2024,14.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02978263590qspobkfn.3ll.opwf.isbez.6.lwfuob.v.isbojd.t.sblpvtlfn/qiq,9000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,07.06.2024,19.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02978262480qspobkfn.3ll.opwf.isbez.6.lwfuob.czemfoj.v.isbojd/qiq,7000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,06.06.2024,06.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02977781380obcj{jnf.l.qspobknv.czu.3ll.vm.wfusob.d.cvefkpwjdf/qiq,8300,481!16,čftlê!CveĜkpwjdf,2+kk,|  zateplen  |  plastová okna  
A,05.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297717:120qspobkfn.czuv.3ll.w.dfousv.dc/qiq,17000,481!12,čftlê!CveĜkpwjdf,2+kk,|  novostavb  
X,05.06.2024,07.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02977266280qspobkfn.3ll.opwf.isbez.6.lwfuob.czemfoj.v.isbojd/qiq,7000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,05.06.2024,07.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02977264190qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,05.06.2024,07.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02977261:20qspobkfn.3ll.opwf.isbez.6.lwfuob.v.isbojd.t.sblpvtlfn/qiq,9000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,04.06.2024,04.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297688:690qspobkfn.3ll.opwf.isbez.6.lwfuob.czemfoj.v.isbojd/qiq,7000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,04.06.2024,04.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02976883360qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,04.06.2024,24.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02976895:20qspobkfn.3ll.t.cbmlpofn.dftlf.cvefkpwjdf/qiq,12000,481!22,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  balk  
X,04.06.2024,04.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02976:37770qspobkfn.3ll.opwf.isbez.6.lwfuob.v.isbojd.t.sblpvtlfn/qiq,9000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,04.06.2024,04.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02976:34:80qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
A,03.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297642:940qspobkfn.czuv.3ll.w.pcdj.{cpspw.ob.plsbkj.dftlzdi.cvefkpwjd/qiq,10500,481!17,čftlê!CveĜkpwjdf,2+kk,|  MHD  
X,03.06.2024,13.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029764283303ll.w.dftlzdi.cvefkpwjdjdi.l.qspobknv/qiq,10500,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  
X,03.06.2024,07.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297648:550qspobkfn.3ll.dftlf.cvefkpwjdf.w.nmbefn/qiq,8000,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  plastová okna  
