Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,28.07.2024,30.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0299:133:50qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,26.07.2024,27.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02999369720qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,24.07.2024,18.09.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02998492710qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,24.07.2024,19.08.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029984775:0qspefk.czu.22.56/qiq,3690000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  
X,22.07.2024,23.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029975365:0qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,18.07.2024,21.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0299592:770qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,16.07.2024,18.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02995238:80qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,13.07.2024,25.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02993589:40qspefk.es.czuv.22.67.n3.v.uzob.obe.wmubwpv.nbmb.tusbob/qiq,Vtextu,486!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,09.07.2024,25.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02991:94::0qspefk.czu.22.47/qiq,3290000,481!15,čftlê!CveĜkpwjdf,1+1,|  MHD  |  balk  
X,08.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02991532380qspefk.czuv.2.2.w.pw.49.n3.cbmlpo/qiq,2500000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  balk  
X,06.07.2024,01.09.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0298:784480qspefk.czuv.22.w.dftlzdi.cvefkpwjdjdi/qiq,3150000,481!22,čftlê!CveĜkpwjdf,1+1,|  osobní  |  zateplen  |  MHD  |  plastová okna  
X,05.07.2024,05.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0298:145250qspefk.czuv.2.2.w.pw.49.n3.cbmlpo/qiq,2500000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  OV  |  balk  
X,20.06.2024,26.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02983:23:20qspefk.czu.22.52/qiq,3449000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,19.06.2024,18.08.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02983476860oblvq.czuv.2ll.22.3ll.b.32.w.dftlzdi.cvefkpwjdjdi/qiq,2000000,481!12,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  
X,14.06.2024,06.08.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02981468750{efoz.czu.22.48.n3.vm.opwb.dc/qiq,2990000,481!12,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  
X,06.06.2024,06.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297791:160czu.22.k.qmbdiuz.d.cvefkpwjdf/qiq,2300000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  
X,17.05.2024,22.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296847:350wzkjnfdoz.czu.22.w.pw.p.sp{mp{f.52.n.ob.qspefk.w.vmjdj.kpqmfubmb.dftlf/qiq,3050000,481!16,čftlê!CveĜkpwjdf,1+1,|  OV  |  centrum  |  zateplen  |  MHD  |  balk  
X,16.05.2024,23.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02967:57210obcj{jnf.l.qspefkj.czupwpv.kfeopulv.22.pw.42n3.w.vmjdj.n.ipsblpwf.w.df/qiq,2500000,481!16,čftlê!CveĜkpwjdf,1+1,|  OV  |  centrum  |  zateplen  |  MHD  
X,16.05.2024,23.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0296795:130qspefk.czuv.22.45.n.dftlf.cvefkpwjdf.vm.opwb/qiq,2490000,481!12,čftlê!CveĜkpwjdf,1+1,""
X,15.05.2024,17.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02967626180qspefk.{efofip.czuv.22.b.lsj{f.tvdif.wscof.dc/qiq,3400000,481!17,čftlê!CveĜkpwjdf,1+1,|  osobní  |  družstevní  |  centrum  |  zateplen  |  MHD  |  balk  
X,14.05.2024,16.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02966895570l.qspefkj.3.czupwf.kfeopulz.22.b.2ll.vm.k.t.cbbsb.dq.3725.dfousvn.nftu/qiq,5490000,481!12,čftlê!CveĜkpwjdf,1+1,|  centrum  
X,06.05.2024,06.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02963314710l.qspefkj.wzcbwfoz.czu.22.ofkwzttj.qpemb{j.{b.pd.jhz.vm.qvlmjdpwb.2146/qiq,2190000,481!15,čftlê!CveĜkpwjdf,1+1,|  družstevní  |  zateplen  
