Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
X,18.03.2024,25.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02939:53930qspefk.czuv.w.pw.32c.74n3.w.vmjdj.csbojtpwtlb/qiq,3900000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  |  plastová okna  
X,18.03.2024,19.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02939:31:40qspefk.czuv.32.w.dc/qiq,4450000,481!15,čftlê!CveĜkpwjdf,2+1,|  MHD  |  balk  
A,17.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02939242380qspefk.czu.32.tbuob.cbmlpo.tlmfq.feftujopwf.dftlf.cv/qiq,4990000,481!16,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  zateplen  |  balk  |  plastová okna  
X,14.03.2024,17.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02937822520qspefk.czuv.32.57.n.dftlf.cvefkpwjdf.vm.efmojdlb/qiq,3490000,481!17,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,11.03.2024,29.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02936428890qspefk.{sflpotusvpwbofip.czuv.32.{mjw/qiq,2890000,484!55,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  
X,11.03.2024,26.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02936612780qspefk.czuv.3ll.62.n.dftlf.cvefkpwjdf.vm.evcfotlb/qiq,3499900,481!16,čftlê!CveĜkpwjdf,2+1,""
A,07.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02934534330qspefk.czuv.32.t.cbmlpofn.k.pqmfubmb.dftlf.cvefkpwjdf/qiq,5100000,481!16,čftlê!CveĜkpwjdf,2+1,|  zateplen  |  balk  |  plastová okna  
A,06.03.2024,05.05.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02933:69960czu.32/qiq,4200000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  
X,03.03.2024,18.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02932597190qspefk.czuv.w.pw.32c.74n3.w.vmjdj.csbojtpwtlb/qiq,3900000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  |  plastová okna  
X,29.02.2024,29.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02931173170qspefk.czuv.32.5:.n3.mjejdlb.us.dftlf.cvefkpwjdf/qiq,3850000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  zateplen  |  MHD  |  balk  
X,26.02.2024,21.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02929:35:60qspefk.czu.32.95/qiq,4790000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  centrum  
X,25.02.2024,03.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02929219640qspefk.czuv.w.pw.32c.74n3.w.vmjdj.csbojtpwtlb/qiq,Dohodou,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  |  plastová okna  
X,22.02.2024,27.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02927:74580qspefk.czuv.32.w.dfousv.dc/qiq,4230000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,19.02.2024,26.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02926476690qspebn.czu.32.w.d.cve.wfusob.vm/qiq,2950000,481!16,čftlê!CveĜkpwjdf,2+1,|  balk  
X,18.02.2024,18.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02926181230qspefk.czuv.32.78.n/qiq,3890000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  MHD  
X,15.02.2024,23.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02924627790qspefk.czuv.32.68.n.dftlf.cvefkpwjdf.vm.lvcbupwb/qiq,3675000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  družstevní  |  po rekonstrukci  
X,14.02.2024,03.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0292418:320czu.32.p.sp{mp{f.626.n3.uzo.obe.wmubwpv/qiq,1790000,486!12,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  zateplen  |  aukc  |  balk  
X,13.02.2024,25.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02923641730qspefk.czuv.w.pw.32c.74n3.w.vmjdj.csbojtpwtlb/qiq,4300000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  |  plastová okna  
X,12.02.2024,16.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02922958770qspefk.czuv.32.66.n.dftlf.cvefkpwjdf.vm.obesb{oj/qiq,3275000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  |  zateplen  
X,09.02.2024,12.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02921778670qspefk.czuv.w.pw.32c.74n3.w.vmjdj.csbojtpwtlb/qiq,4300000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  balk  |  plastová okna  
X,09.02.2024,12.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0292194:560obcj{jnf.l.qspefkj.czu.32.77n3.ew.t.np{optuj.qsfwpev.ep.pw.vm.cveftjot/qiq,3350000,481!18,čftlê!CveĜkpwjdf,2+1,|  OV  |  zateplen  |  MHD  |  balk  
X,31.01.2024,04.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0291733:690qspefk.czuv.32.78.n3.usftopwb.bebnpw/qiq,4800000,484!82,čftlê!CveĜkpwjdf,2+1,|  balk  
X,31.01.2024,08.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02917487810qspefk.czuv.32.obesb{oj.92.dftlf.cvefkpwjdf/qiq,2990000,481!15,čftlê!CveĜkpwjdf,2+1,|  OV  |  zateplen  
X,30.01.2024,06.02.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02916965410qspebn.czu.32.65n3.qbslpwboj.wf.ewpsf.3y.tlmfq/qiq,3590000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  
